show_id,type,title,director.1,director.2,director.3,Column1,cast.1,cast.2,cast.3,cast.4,cast.5,cast.6,cast.7,cast.8,cast.9,cast.10,cast.11,cast.12,cast.13,cast.14,cast.15,cast.16,cast.17,cast.18,cast.19,cast.20,cast.21,cast.22,cast.23,cast.24,cast.25,cast.26,cast.27,cast.28,cast.29,cast.30,cast.31,cast.32,cast.33,cast.34,cast.35,cast.36,Length,country,date_added,release_year,rating,duration,listed_in.1,listed_in.2,listed_in.3
s6187,Movie,Arthur Christmas,Sarah Smith,,,,James McAvoy, Hugh Laurie, Bill Nighy, Jim Broadbent, Imelda Staunton, Ashley Jensen, Ramona Marquez, Marc Wootton, Laura Linney, Eva Longoria, Michael Palin, Joan Cusack, Deborah Findlay, Rich Fulcher, Sarah Smith, Clint Dyer, Kerry Shale, Stewart Lee, Bronagh Gallagher, Kevin Cecil, Alistair McGowan, David Menkin, Kris Pearn, Ian Ashpitel, Rich Hall, Seeta Indrani, Jane Horrocks, Peter Baynham, Emma Kennedy, Dominic West, Jerry Lambert, Julia Davis, Robbie Coltrane, Iain McKee, Sanjeev Bhaskar, Andy Serkis,632,"United Kingdom, United States",2020-01-01,2011,PG,98 min,Children & Family Movies, Comedies,
s8467,Movie,The Princess and the Frog,Ron Clements, John Musker,,,Anika Noni Rose, Bruno Campos, Keith David, Michael-Leon Wooley, Jennifer Cody, Jim Cummings, Peter Bartlett, Jenifer Lewis, Oprah Winfrey, Terrence Howard, John Goodman, Emeril Lagasse, June Christopher, Paul Briggs, Rob Edwards, John Kassir, Fred Tatasciore, Kimberly Russell, Rif Hutton, Randy Newman, Bridget Hoffman, Corey Burton, Joe Whyte, Michael Colyar, Bruce Smith, Terri Douglas, Claudette Wells, Roger Aaron Brown, Mona Marshall, Terence Blanchard, Kwesi Boakye, Mick Wingert, David Cowgill, Peter Renaday, John Musker, Ritchie Montgomery,597,United States,2019-07-16,2009,G,98 min,Children & Family Movies,,
s7516,Movie,Movie 43,Peter Farrelly, Will Graham, Steve Carr,,Greg Kinnear, Dennis Quaid, Common, Seth MacFarlane, Will Sasso, Hugh Jackman, Kate Winslet, Liev Schreiber, Naomi Watts, Anna Faris, Chris Pratt, J.B. Smoove, Kieran Culkin, Emma Stone, Cathy Cliften, Kristen Bell, Leslie Bibb, Bobby Cannavale, John Hodgman, Justin Long, Jason Sudeikis, Uma Thurman, Phil Crowley, Kate Bosworth, Richard Gere, Jack McBrayer, Aasif Mandvi, Christopher Mintz-Plasse, Chloë Grace Moretz, Matt Walsh, Patrick Warburton, Gerard Butler, Johnny Knoxville, Seann William Scott, Halle Berry, Stephen Merchant,582,United States,2019-04-09,2013,R,94 min,Comedies,,
s5614,Movie,"Michael Bolton's Big, Sexy Valentine's Day Special",Scott Aukerman, Akiva Schaffer,,,Michael Bolton, Andy Samberg, Will Forte, Kenny G, Maya Rudolph, Adam Scott, Janeane Garofalo, Brooke Shields, Sinbad, Michael Sheen, Tim Robinson, Bob Saget, Mary Holland, Andy Richter, Colton Dunn, David Theune, Randall Park, Sarah Silverman, Mary Sohn, Fred Armisen, Matthew Kimbrough, Maya Erskine, Louie Anderson, Claudia O'Doherty, Kate Berlant, Baron Vaughn, Zachary Oyama, Casey Wilson, Sarah Shahi, Jimmy Graham, Luka Jones, Akiva Schaffer, Eric André, Scott Aukerman, Nicole Byer, Dave Ferguson,575,United States,2017-02-07,2017,TV-MA,54 min,Comedies, Music & Musicals, Romantic Movies
s7137,Movie,John Carter,Andrew Stanton,,,,Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston, Polly Walker, Daryl Sabara, Art Malik, Eileen Page, Amanda Clayton, Davood Ghadami, Daniel O'Meara, Jill Baker, Josh Daugherty, Oliver Boot, Philip Arditti, Arkie Reece, Joe Billingiere, Don Stark, Darwin Shaw, Figs Jackman, David Schwimmer, Emma Clifford, Christopher Goodman, Cate Fowler, Sean Carrigan, Dusty Sorg, Steven Cree, Phil Cheadle, Holly Weston, Nicholas Woodeson,558,United States,2019-05-02,2012,PG-13,133 min,Action & Adventure, Sci-Fi & Fantasy,
s7817,Movie,Race to Witch Mountain,Andy Fickman,,,,Dwayne Johnson, AnnaSophia Robb, Alexander Ludwig, Carla Gugino, Ciarán Hinds, Tom Everett Scott, Chris Marquette, Billy Brown, Christine Lakin, Tom Woodruff Jr., John Kassir, Garry Marshall, John Duff, Ted Hartley, Dave Engfer, Bob Clendenin, Shengyi Huang, Robert Torti, Kim Richards, Brandon Miller, Paul Darnell, Omar Dorsey, Dennis Hayden, Suzanne Krull, Steve Rosenbaum, Andrew Shaifer, Bryan Fogel, Bob Koherr, Sam Wolfson, Beth Kennedy, Corri English, Jonathan Slavin, Kevin Christy, Meredith Salenger,,,509,United States,2019-07-01,2009,PG,99 min,Children & Family Movies,,
s6272,Movie,Bedtime Stories,Adam Shankman,,,,Adam Sandler, Keri Russell, Guy Pearce, Russell Brand, Richard Griffiths, Jonathan Pryce, Courteney Cox, Lucy Lawless, Teresa Palmer, Aisha Tyler, Laura Ann Kesling, Jackie Sandler, Lorna Scott, Dana Min Goodman, Andrew Collins, Jonathan Loughran, Jonathan Morgan Heit, Nick Swardson, Tim Herlihy, Billy Tyler, Johntae Lipscomb, Mikey Post, Sebastian Saraceno, Bill Romanowski, Sadie Sandler, Carmen Electra, Allen Covert, Kathryn Joosten, Annalise Basso, Blake Clark, Julia Lea Wolov, Sarah G. Buxton,,,,,501,United States,2019-03-05,2008,PG,100 min,Children & Family Movies, Comedies,
s8342,Movie,The Help,Tate Taylor,,,,Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain, Ahna O'Reilly, Allison Janney, Anna Camp, Cicely Tyson, Mike Vogel, Sissy Spacek, Mary Steenburgen, Carol Sutton, Dana Ivey, Amy Beckwith, Aunjanue Ellis, Kelsey Scott, Lauren Miller, Tarra Riggs, Wes Chatham, Ashley Johnson, Roslyn Ruff, Brian Kerwin, Shane McRae, Chris Lowell, Charles Cooper, Leslie Jordan, La Chanze, Elizabeth Smith, Nelsan Ellis, Ritchie Montgomery, Ted Welch, David Oyelowo, Tiffany Brouwer,,,495,United States,2020-06-01,2011,PG-13,147 min,Dramas,,
s792,Movie,Felon,Ric Roman Waugh,,,,Stephen Dorff, Val Kilmer, Harold Perrineau, Marisol Nichols, Anne Archer, Nick Chinlund, Nate Parker, Johnny Lewis, Sam Shepard, Jake Walker, Joey Villasenor, Antonio Leyba, Mike Seal, Richard Caruso, Kevin Wiggins, Larnell Stovall, Mara Holguin, Elton Walker, Brittany Perrineau, Esodie Geiger, Jermaine Washington, Greg Serano, Brian Keith Gamble, Mark Sivertsen, Carrie Fleming, Adam Taylor, Chris Browning, John Koyama, Shawn Prince, Christopher Dempsey, Cynthia Ruffin,,,,,,474,United States,2021-06-02,2008,R,104 min,Action & Adventure, Dramas,
s6201,Movie,Avengers: Infinity War,Anthony Russo, Joe Russo,,,Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland,,,,,,,,,428,United States,2018-12-25,2018,PG-13,150 min,Action & Adventure, Sci-Fi & Fantasy,
s171,Movie,Rhyme & Reason,Peter Spirer,,,,Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean P. Diddy Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave,414,United States,2021-09-01,1997,R,89 min,Documentaries, Music & Musicals,
s8083,Movie,Star Wars: Episode VIII: The Last Jedi,Rian Johnson,,,,Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong'o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Frank Oz, Benicio Del Toro, Warwick Davis, Noah Segan, Jimmy Vee, Joonas Suotamo, Joseph Gordon-Levitt, Tim Rose, Paul Kasey, Matthew Sharp, Adrian Edmondson, Amanda Lawrence, Justin Theroux,,,,,,,,,,,386,United States,2018-06-26,2017,PG-13,152 min,Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy
