Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
My Little Pony: A New Generation,My Little Pony: A New Generation,movie,12,0,19,0.150621,0.165581,0.000318
Robert Cullen,Robert Cullen,director,11,0,19,0.15062,0.165565,0.000318
José Luis Ucha,José Luis Ucha,director,11,0,19,0.15062,0.165565,0.000318
Vanessa Hudgens,Vanessa Hudgens,cast,15,0,20,0.156678,0.172684,0.001679
Kimiko Glenn,Kimiko Glenn,cast,9,0,18,0.139216,0.151242,0.000131
James Marsden,James Marsden,cast,26,0,18,0.162434,0.182165,0.001502
Sofia Carson,Sofia Carson,cast,7,0,20,0.13361,0.143938,0.000519
Liza Koshy,Liza Koshy,cast,5,0,20,0.13168,0.141369,0.000054
Ken Jeong,Ken Jeong,cast,24,0,20,0.153399,0.171651,0.001711
Elizabeth Perkins,Elizabeth Perkins,cast,9,0,20,0.144526,0.158161,0.000083
Jane Krakowski,Jane Krakowski,cast,19,0,20,0.157572,0.175528,0.001057
Michael McKean,Michael McKean,cast,7,0,18,0.154803,0.171189,0.000263
Phil LaMarr,Phil LaMarr,cast,3,0,20,0.130906,0.140335,0
Sankofa,Sankofa,movie,9,0,1,1,1,0
Haile Gerima,Haile Gerima,director,9,0,1,1,1,0
Kofi Ghanaba,Kofi Ghanaba,cast,2,0,2,0.5625,0.611111,0
Oyafunmike Ogunlano,Oyafunmike Ogunlano,cast,2,0,2,0.5625,0.611111,0
Alexandra Duah,Alexandra Duah,cast,2,0,2,0.5625,0.611111,0
Nick Medley,Nick Medley,cast,2,0,2,0.5625,0.611111,0
Mutabaruka,Mutabaruka,cast,2,0,2,0.5625,0.611111,0
Afemo Omilami,Afemo Omilami,cast,2,0,2,0.5625,0.611111,0
Reggie Carter,Reggie Carter,cast,2,0,2,0.5625,0.611111,0
Mzuri,Mzuri,cast,2,0,2,0.5625,0.611111,0
The Starling,The Starling,movie,12,0,19,0.146306,0.160863,0.000259
Theodore Melfi,Theodore Melfi,director,12,0,19,0.146306,0.160863,0.000259
Melissa McCarthy,Melissa McCarthy,cast,8,0,19,0.146387,0.158666,0.000068
Chris O'Dowd,Chris O'Dowd,cast,14,0,18,0.151567,0.168287,0.00081
Kevin Kline,Kevin Kline,cast,10,0,19,0.149123,0.164913,0.000233
Timothy Olyphant,Timothy Olyphant,cast,10,0,18,0.157093,0.174735,0.00037
Daveed Diggs,Daveed Diggs,cast,6,0,20,0.13497,0.145696,0.000471
Skyler Gisondo,Skyler Gisondo,cast,6,0,20,0.140055,0.152149,0.000081
Laura Harrier,Laura Harrier,cast,2,0,20,0.127634,0.136888,0
Rosalind Chao,Rosalind Chao,cast,4,0,20,0.13699,0.147003,0.000027
