Id,0,Degree
My Little Pony: A New Generation,movie,12
Robert Cullen,director,11
José Luis Ucha,director,11
Vanessa Hudgens,cast,15
Kimiko Glenn,cast,9
James Marsden,cast,26
Sofia Carson,cast,7
Liza Koshy,cast,5
Ken Jeong,cast,24
Elizabeth Perkins,cast,9
Jane Krakowski,cast,19
Michael McKean,cast,7
Phil LaMarr,cast,3
Sankofa,movie,9
Haile Gerima,director,9
Kofi Ghanaba,cast,2
Oyafunmike Ogunlano,cast,2
Alexandra Duah,cast,2
Nick Medley,cast,2
Mutabaruka,cast,2
Afemo Omilami,cast,2
Reggie Carter,cast,2
Mzuri,cast,2
The Starling,movie,12
Theodore Melfi,director,12
Melissa McCarthy,cast,8
Chris O'Dowd,cast,14
Kevin Kline,cast,10
Timothy Olyphant,cast,10
Daveed Diggs,cast,6
Skyler Gisondo,cast,6
Laura Harrier,cast,2
Rosalind Chao,cast,4
Kimberly Quinn,cast,2
Loretta Devine,cast,20
Ravi Kapoor,cast,2
Je Suis Karl,movie,12
Christian Schwochow,director,12
Luna Wedler,cast,2
Jannis Niewöhner,cast,2
Milan Peschel,cast,6
Edin Hasanović,cast,2
Anna Fialová,cast,4
Marlon Boess,cast,2
Victor Boccard,cast,2
Fleur Geffrier,cast,2
Aziz Dyab,cast,2
Mélanie Fouché,cast,2
Elizaveta Maximová,cast,2
Confessions of an Invisible Girl,movie,11
Bruno Garotti,director,45
Klara Castanho,cast,2
Lucca Picon,cast,2
Júlia Gomes,cast,2
Marcus Bessa,cast,2
Kiria Malheiros,cast,3
Fernanda Concon,cast,2
Gabriel Lima,cast,2
Caio Cabral,cast,2
Leonardo Cidade,cast,2
Jade Cardozo,cast,2
Intrusion,movie,11
Adam Salky,director,11
Freida Pinto,cast,10
Logan Marshall-Green,cast,10
Robert John Burke,cast,4
Megan Elisabeth Kelly,cast,2
Sarah Minnich,cast,2
Hayes Hargrove,cast,2
Mark Sivertsen,cast,6
Brandon Fierro,cast,2
